#tweet_id,user_follower_count,user_followee_count,followers_per_followee,user_listed_count,user_status_count,user_bio_exists,word_count,unique_char_count,digits_count,url_count,urls_per_word,hashtag_count,hashtags_per_word,position_of_hashtag,swear_words_count,users_menttioned_count,spam_words_in_bio_count,spam_words_in_tweet_count,expanded_url_length,dot_in_expanded_url,no_of_subdomain,no_of_redirection,age_of_account,class
4.40E+17,9,23,0.391304348,0,139,1,15,22,0,0,0,0,0,-1,71,0,105,71,0,0,0,0,38,spam
4.40E+17,854,746,1.144772118,3,29206,1,6,14,0,0,0,0,0,-1,28,0,11,28,0,0,0,0,1115,non-spam
4.40E+17,227,249,0.911646586,0,1168,1,5,19,0,0,0,0,0,-1,35,0,10,35,0,0,0,0,37,non-spam
4.40E+17,628,1982,0.316851665,6,5936,1,22,30,0,0,0,0,0,-1,132,1,157,133,0,0,0,0,1846,non-spam
4.40E+17,1229,1892,0.649577167,17,6159,1,10,26,0,0,0,0,0,-1,68,1,45,68,0,0,0,0,98,non-spam
4.40E+17,203,351,0.578347578,1,3602,1,12,35,4,0,0,1,0.083333333,32,96,1,96,98,0,0,0,0,1464,non-spam
4.40E+17,9,37,0.243243243,0,9,1,8,24,0,0,0,1,0.125,54,58,1,155,58,0,0,0,0,15,non-spam
4.40E+17,66,25,2.64,0,4259,1,8,19,0,0,0,0,0,-1,45,1,39,45,0,0,0,0,464,non-spam
4.40E+17,6,0,0,0,375,0,22,23,0,0,0,0,0,-1,118,0,0,118,0,0,0,0,931,spam
4.40E+17,2900,2381,1.21797564,22,21849,1,4,21,3,0,0,0,0,-1,36,0,35,37,0,0,0,0,270,non-spam
4.40E+17,142,224,0.633928571,0,7223,1,6,14,0,0,0,0,0,-1,30,0,80,30,0,0,0,0,925,non-spam
4.40E+17,307,365,0.84109589,0,2493,1,14,23,2,0,0,0,0,-1,79,1,11,79,0,0,0,0,211,non-spam
4.40E+17,19,99,0.191919192,0,16,0,14,29,0,0,0,0,0,-1,77,0,0,78,0,0,0,0,2,non-spam
4.40E+17,255,201,1.268656716,0,3439,1,9,21,1,0,0,1,0.111111111,0,43,0,16,43,0,0,0,0,130,non-spam
4.40E+17,45,475,0.094736842,0,29201,1,18,45,2,1,0.055555556,0,0,-1,131,0,12,133,119,2,3,2,1653,non-spam
4.40E+17,94,143,0.657342657,0,943,1,7,18,1,0,0,0,0,-1,33,0,23,33,0,0,0,0,469,non-spam
4.40E+17,0,0,0,0,6,0,12,37,1,1,0.083333333,0,0,-1,94,0,0,95,93,2,5,5,0,spam
4.40E+17,44,156,0.282051282,0,2111,1,6,27,4,1,0.166666667,0,0,-1,53,0,66,55,43,2,1,2,482,non-spam
4.40E+17,1,26,0.038461538,0,252,0,14,43,1,0,0,1,0.071428571,102,124,3,0,124,0,0,0,0,58,non-spam
4.40E+17,587,341,1.721407625,0,17677,1,5,21,2,0,0,0,0,-1,36,1,120,36,0,0,0,0,1059,non-spam
4.40E+17,130,131,0.992366412,0,1234,1,13,22,0,0,0,0,0,-1,72,0,126,72,0,0,0,0,255,non-spam
4.40E+17,209,226,0.924778761,1,10730,1,5,11,0,0,0,0,0,-1,19,0,94,19,0,0,0,0,1002,non-spam
4.40E+17,5286,376,14.05851064,32,67318,1,24,27,0,0,0,0,0,-1,131,1,34,131,0,0,0,0,390,spam
4.40E+17,426,356,1.196629213,2,9284,1,10,30,1,0,0,0,0,-1,63,0,84,65,0,0,0,0,699,non-spam
4.40E+17,650,198,3.282828283,1,20509,1,3,10,0,0,0,0,0,-1,16,0,24,16,0,0,0,0,811,non-spam
4.40E+17,189,267,0.707865169,0,757,1,9,28,2,1,0.111111111,0,0,-1,74,0,36,76,17,1,0,1,928,non-spam
4.40E+17,1244,569,2.18629174,33,14800,1,15,21,0,0,0,0,0,-1,83,0,148,83,0,0,0,0,1210,non-spam
4.40E+17,405,390,1.038461538,0,8711,1,13,25,0,0,0,0,0,-1,71,0,22,71,0,0,0,0,1095,non-spam
4.40E+17,172,329,0.522796353,0,2133,1,2,9,0,0,0,0,0,-1,14,0,53,14,0,0,0,0,96,non-spam
4.40E+17,10,5,2,0,5,1,24,28,0,0,0,0,0,-1,145,0,29,146,0,0,0,0,0,spam
4.40E+17,1364,806,1.692307692,0,46341,1,9,20,0,0,0,0,0,-1,51,1,3,51,0,0,0,0,821,non-spam
4.40E+17,40,402,0.099502488,0,1636,1,7,22,0,0,0,0,0,-1,41,1,144,42,0,0,0,0,999,non-spam
4.40E+17,385,291,1.323024055,0,3687,1,5,21,0,0,0,0,0,-1,35,1,38,35,0,0,0,0,1072,non-spam
4.40E+17,113,0,0,1,70980,1,7,29,1,1,0.142857143,0,0,-1,63,0,25,65,91,3,2,3,819,non-spam
4.40E+17,250,1052,0.237642586,0,1049,1,11,37,3,1,0.090909091,0,0,-1,94,0,62,96,62,3,1,1,49,spam
4.40E+17,84,401,0.209476309,1,19359,1,9,31,2,1,0.111111111,0,0,-1,69,0,9,71,0,0,-2,-1,627,non-spam
4.40E+17,1674,222,7.540540541,117,30727,1,6,18,0,0,0,0,0,-1,42,1,52,42,0,0,0,0,1788,non-spam
4.40E+17,98,118,0.830508475,0,3912,1,11,21,0,0,0,0,0,-1,60,1,62,60,0,0,0,0,100,non-spam
4.40E+17,824,374,2.203208556,0,13563,1,3,9,0,0,0,0,0,-1,17,0,131,17,0,0,0,0,688,non-spam
